selling_price,home_age,bedrooms,bathrooms,sqft_living,sqft_lot,sqft_basement,floors
515000,8,5,3.25,2910,5027,870,2
616950,10,5,3.5,3560,5008,750,2
538900,9,5,3,3040,6604,0,2
385000,20,4,3,2090,5102,740,1
420000,31,5,3,2150,6117,780,1
385000,22,4,2.5,2050,5276,0,2
429000,12,5,2.5,2340,4500,0,2
418500,12,4,2.5,2190,4866,0,2
392000,17,5,2.5,2340,5670,0,2
636230,20,4,2.5,2840,6284,0,2
610360,8,4,2.5,2610,5562,0,2
495000,33,4,2.5,2980,12075,1070,1
505000,24,4,2.75,2980,9825,1070,1
641000,5,5,2.75,3710,8674,0,2
564450,25,3,2.5,2710,6174,0,2
639900,19,4,2.5,3380,75794,0,2
580050,3,3,2.5,2360,4638,0,2
435000,27,3,2.25,1380,3015,0,2
434000,28,3,2.25,1750,9353,540,1
400000,15,3,1.75,1470,6682,0,1
562500,23,4,2.5,2320,8721,0,2
560000,8,3,2.25,2060,31400,0,2
500000,22,3,3.5,2150,4368,540,2
409000,18,3,2.5,1890,6500,0,2
510000,26,3,1.75,2170,26460,720,1
649000,21,4,2.75,3130,9711,0,2
390000,27,4,2,1900,76877,0,1
360000,27,3,1.5,1340,1110,300,2
634000,4,3,2.5,2490,4904,0,2
520000,13,3,2.5,2160,4297,0,2
620000,15,4,4,2850,2970,730,2
425000,24,3,2.25,1260,3000,0,2
470000,23,3,3.25,1710,2381,350,2
362000,25,3,2.75,1420,955,260,2
445000,28,3,3.25,1710,1960,350,2
450000,25,3,3.25,1770,1863,340,2
376000,22,2,2,1340,1635,0,2
350000,26,3,1.75,1260,1111,0,2
395000,18,2,2.25,1620,1841,80,2
435000,16,3,2.5,1600,2375,0,2
476100,27,4,2.5,1850,1836,250,2
524950,10,2,2.5,1830,2856,0,2
475000,25,3,2.25,1630,2520,0,2
450000,25,3,2.5,1480,1961,0,2
430000,21,3,2.25,1470,1703,0,2
358500,28,2,1.75,1400,865,290,2
376000,23,3,2,1540,1827,0,2
402000,37,3,2,1540,1827,0,2
454280,17,3,2.5,1470,1741,300,2
379770,34,3,2.5,1470,1779,310,2
420000,12,3,2.5,1470,1445,310,2
499000,9,3,2.25,1780,3665,0,2
360000,23,2,1.75,1230,1107,0,2
472500,13,2,2.25,1700,2383,0,2
550000,26,3,2.5,2080,2625,0,2
418000,18,2,2.5,1500,3608,0,2
405000,21,3,2.5,1440,2163,0,2
358000,29,3,2.5,1400,1529,0,2
405000,28,3,2.5,1500,2314,0,2
451000,21,4,2.5,1670,3315,0,2
630000,10,2,2.5,2290,3507,0,2
556000,15,3,3,1960,1168,360,2
352900,19,2,1.5,1240,1892,0,2
374000,20,2,1.5,1260,1575,0,2
380000,26,3,2.25,1530,1305,414,2
390500,24,3,2.25,1530,1279,414,2
445000,35,2,2,1240,2500,0,2
640000,1,3,2.5,2580,7500,0,2
420000,11,3,2,1750,9239,340,1
518380,24,4,2.5,2810,4500,0,2
531155,26,4,2.75,2810,5046,0,2
551870,1,3,2.5,2507,18400,0,2
350000,37,2,1.5,1320,73600,0,1
350000,26,2,1.75,1080,7242,0,2
434000,17,3,2.75,1830,3200,0,2
500000,24,3,2.5,2300,4307,0,2
463000,2,3,2.5,2010,4195,0,2
471000,18,3,2.5,2010,4059,0,2
396000,39,3,2.25,1680,9766,0,2
577000,6,3,2.25,2370,7878,0,2
450000,18,3,2.25,1780,9969,330,1
444000,26,3,2,1460,2610,0,2
350000,12,4,2.25,1770,7778,0,2
359950,24,4,2.5,1820,3899,0,2
423500,19,3,2.25,1890,7498,700,1
585000,21,4,2.5,2840,11044,0,2
433190,30,3,2.5,1650,2787,0,2
424950,25,3,2.5,1650,4777,0,2
450000,26,3,2.5,1800,4357,0,2
437718,34,3,2.5,1800,3265,0,2
417000,22,3,2.5,1570,4926,0,2
408474,18,3,2.5,1800,2731,0,2
414000,21,3,2.5,1790,3754,0,2
409316,39,3,2.5,1800,3168,0,2
451300,20,3,2.5,1420,814,280,2
430000,22,3,2.5,1690,1310,550,2
399950,30,5,2.75,1970,5400,650,1
487000,14,2,2.5,1470,2533,0,2
465000,17,3,2.25,1840,5752,0,2
485000,12,3,2.5,1580,6065,0,2
475000,17,3,2.5,1630,7586,0,2
567000,8,3,2.5,2070,10908,0,2
530000,23,3,2.25,2010,11817,0,2
449950,20,3,2.25,1610,5159,0,2
445000,19,3,2.25,1850,4050,0,2
447000,20,3,2.25,1440,4667,0,2
432250,28,3,2.25,1440,6232,0,2
455000,3,3,2.25,1470,4653,0,2
435500,24,3,2.25,1450,4789,0,2
620000,9,3,2.5,2440,10363,0,2
480000,7,3,2.5,1640,7847,0,2
484950,11,3,2.25,1670,5004,0,2
490000,49,3,2.5,2010,9725,0,2
505000,18,3,2.5,1860,8060,0,2
578550,11,3,2.5,2120,6602,0,2
545000,2,3,2.5,2060,7184,0,2
560000,20,3,2.5,2280,12498,0,2
485000,18,3,2.5,1880,5502,0,2
350000,26,3,2,1440,5469,0,1
496600,15,3,2.5,1910,5562,0,2
555000,25,3,2.5,2160,7584,0,2
500000,29,3,2.25,1760,4539,0,2
535000,20,3,2.5,1970,6634,0,2
635000,8,4,2.5,3050,7238,0,2
500000,10,3,2.25,1690,4964,0,2
517500,14,3,2.5,1800,3933,0,2
498688,10,3,2.5,1910,5600,0,2
495000,27,3,2.5,1800,7318,0,2
561000,20,4,2.5,2570,5250,0,2
599000,26,4,2.5,2640,6738,0,2
495000,20,5,2.5,2200,4942,0,2
496700,23,3,2.5,1740,5782,0,2
620000,22,4,2.5,2680,9185,0,2
464000,20,3,2.5,1770,5146,0,2
477500,16,3,2,1860,5146,0,2
525000,24,3,2.5,2030,6970,0,2
560000,26,3,2.5,2180,7169,0,2
520000,25,4,3,2190,5085,0,2
533600,34,3,2.5,1930,5080,0,2
425000,8,3,2.5,1930,4500,0,2
533000,19,3,2.5,2060,4812,0,2
575000,22,4,2.5,2630,6247,0,2
529000,32,3,2.5,1880,4499,0,2
509950,15,3,2.5,1880,4668,0,2
535500,32,3,2.5,2050,4976,0,2
510000,19,3,2.5,1890,5929,0,2
467000,18,3,2.5,1530,3984,0,2
449950,25,3,2.5,1530,3840,0,2
478000,2,3,2.25,1640,3896,0,2
510000,9,3,2.5,1860,3658,0,2
